Card Name,Card Level/Rank,Card Attribute,Card Type,ATK,DEF
ANGEL 01,1,LIGHT,FAIRY,200,300
ANGEL 01,1,LIGHT,FAIRY,200,300
ANGEL 01,1,LIGHT,FAIRY,200,300
CALL OF THE HAUNTED,,NONE,CONTINUOUS TRAP,,
CALL OF THE HAUNTED,,NONE,CONTINUOUS TRAP,,
CALL OF THE HAUNTED,,NONE,CONTINUOUS TRAP,,
CONDEMNED WITCH,4,DARK,FAIRY,100,2000
CONDEMNED WITCH,4,DARK,FAIRY,100,2000
CONDEMNED WITCH,4,DARK,FAIRY,100,2000
DOUBLE SUMMON,,NONE,NORMAL SPELL,,
DOUBLE SUMMON,,NONE,NORMAL SPELL,,
DOUBLE SUMMON,,NONE,NORMAL SPELL,,
EVILSWARM MANDRAGORA,4,DARK,PLANT,1550,1450
EVILSWARM MANDRAGORA,4,DARK,PLANT,1550,1450
FIST OF FATE,,NONE,QUICK-PLAY SPELL,,
FIST OF FATE,,NONE,QUICK-PLAY SPELL,,
FIST OF FATE,,NONE,QUICK-PLAY SPELL,,
FORBIDDEN CHALICE,,NONE,QUICK-PLAY SPELL,,
FORBIDDEN CHALICE,,NONE,QUICK-PLAY SPELL,,
FORBIDDEN DRESS,,NONE,QUICK-PLAY SPELL,,
FORBIDDEN LANCE,,NONE,QUICK-PLAY SPELL,,
GIZMEK MAKAMI,6,WIND,MACHINE,2150,2150
GIZMEK MAKAMI,6,WIND,MACHINE,2150,2150
GIZMEK MAKAMI,6,WIND,MACHINE,2150,2150
HARDENED ARMED DRAGON,4,EARTH,DRAGON,1500,800
HARPIE'S FEATHER DUSTER,,NONE,NORMAL SPELL,,
MONSTER REBORN,,NONE,NORMAL SPELL,,
OBELISK THE TORMENTOR,10,DIVINE,DIVINE-BEAST,4000,4000
OBELISK THE TORMENTOR,10,DIVINE,DIVINE-BEAST,4000,4000
OBELISK THE TORMENTOR,10,DIVINE,DIVINE-BEAST,4000,4000
SOUL CROSSING,,NONE,QUICK-PLAY SPELL,,
SOUL CROSSING,,NONE,QUICK-PLAY SPELL,,
SOUL CROSSING,,NONE,QUICK-PLAY SPELL,,
THE MONARCHS STORM FORTH,,NONE,QUICK-PLAY SPELL,,
THE MONARCHS STORM FORTH,,NONE,QUICK-PLAY SPELL,,
THE MONARCHS STORM FORTH,,NONE,QUICK-PLAY SPELL,,
RA'S DISCIPLE,4,LIGHT,FAIRY,1100,600
RA'S DISCIPLE,4,LIGHT,FAIRY,1100,600
RA'S DISCIPLE,4,LIGHT,FAIRY,1100,600
SUPPLY SQUAD,,NONE,CONTINUOUS SPELL,,
